Access_Category_ID,Access_Name,Access_Description,Customer_ID,Page_Viewed,Visit_Duration,Entry_Page,Exit_Page,Referrer,Access_Date,Device_Type,Browser_Type
1,Homepage,Visiting the homepage for general information,1,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-01-01,Desktop,Chrome
2,Product Page,Viewing specific product details,3,3,60,"https://www.abcmanufacturing.com/products/electronics","https://www.abcmanufacturing.com/products/electronics/1","Search Engine",2024-01-02,Mobile,Safari
3,Checkout,Proceeding to checkout for purchase,2,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-01-03,Desktop,Firefox
4,Support Page,Seeking customer support information,4,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-01-04,Tablet,Chrome
5,Account Page,Managing user account settings,5,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-01-05,Desktop,Edge
6,Homepage,Visiting the homepage for general information,7,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-01-06,Mobile,Safari
7,Product Page,Viewing specific product details,9,3,60,"https://www.abcmanufacturing.com/products/home-appliances","https://www.abcmanufacturing.com/products/home-appliances/3","Search Engine",2024-01-07,Desktop,Chrome
8,Checkout,Proceeding to checkout for purchase,8,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-01-08,Mobile,Safari
9,Support Page,Seeking customer support information,10,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-01-09,Desktop,Firefox
10,Account Page,Managing user account settings,12,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-01-10,Tablet,Chrome
11,Homepage,Visiting the homepage for general information,14,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-01-11,Desktop,Edge
12,Product Page,Viewing specific product details,16,3,60,"https://www.abcmanufacturing.com/products/smartphones","https://www.abcmanufacturing.com/products/smartphones/2","Search Engine",2024-01-12,Mobile,Safari
13,Checkout,Proceeding to checkout for purchase,15,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-01-13,Desktop,Chrome
14,Support Page,Seeking customer support information,18,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-01-14,Mobile,Safari
15,Account Page,Managing user account settings,20,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-01-15,Desktop,Firefox
16,Homepage,Visiting the homepage for general information,22,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-01-16,Tablet,Chrome
17,Product Page,Viewing specific product details,24,3,60,"https://www.abcmanufacturing.com/products/smart-home","https://www.abcmanufacturing.com/products/smart-home/4","Search Engine",2024-01-17,Desktop,Edge
18,Checkout,Proceeding to checkout for purchase,26,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-01-18,Mobile,Safari
19,Support Page,Seeking customer support information,28,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-01-19,Desktop,Chrome
20,Account Page,Managing user account settings,30,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-01-20,Mobile,Safari
21,Homepage,Visiting the homepage for general information,32,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-01-21,Desktop,Firefox
22,Product Page,Viewing specific product details,34,3,60,"https://www.abcmanufacturing.com/products/electronics","https://www.abcmanufacturing.com/products/electronics/1","Search Engine",2024-01-22,Tablet,Chrome
23,Checkout,Proceeding to checkout for purchase,36,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-01-23,Desktop,Edge
24,Support Page,Seeking customer support information,38,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-01-24,Mobile,Safari
